DriverName,DriverID,Rookie,DRFAvg,DTAvg,DTTAvg,DNFRate,TDNFRate,DriverElo,DriverTElo,DriverTTElo,DriverRitmo,AvgLapsLedRate,AvgRacePos,AvgPosVariance,PositionStart,TeamName,TeamID,TRP,TTP,TeamDNFRate,TeamElo,TeamTElo,TeamRitmo,CarEngine,EngineID,EngineElo,EngineTElo,EngineTTElo,EventName,Track,TrackID,EventTrackType,EventTrackTypeID,EventDate,EventDateFormatted,EventID,Era,EraID,Status,StatusID,FieldSize,RacePoints,TotalPoints,Standings,ElapsedTime,TimeDiff,QualTime,QualSpeed,QualSegment,FirstPitLap,LastPitLap,AvgPitLap,LapsLed,AvgRacePosition,PosVariance,BestPosition,PositionFinish,NormalizedPositionFinish
Marco Andretti,3608,0,,,,,,1500,1500,1500,,,,,7,Andretti Global,3,,,,1500,1500,,Chevrolet,0,1500,1500,1500,Honda Grand Prix Of St. Petersburg,Streets of St. Petersburg,21,Street,2,3/25/2012,"Sunday, March 25, 2012",2380,DW12 Era 2012-2017,0,Running,0,26,,,,,,,,,,,,,,,,14,0.52
Ryan Briscoe,3616,0,,,,,,1500,1500,1500,,,,,2,Team Penske,28,,,,1500,1500,,Chevrolet,0,1500,1500,1500,Honda Grand Prix Of St. Petersburg,Streets of St. Petersburg,21,Street,2,3/25/2012,"Sunday, March 25, 2012",2380,DW12 Era 2012-2017,0,Running,0,26,,,,,,,,,,,,,,,,5,0.16
Ed Carpenter,3620,0,,,,,,1500,1500,1500,,,,,24,Ed Carpenter Racing,15,,,,1500,1500,,Chevrolet,0,1500,1500,1500,Honda Grand Prix Of St. Petersburg,Streets of St. Petersburg,21,Street,2,3/25/2012,"Sunday, March 25, 2012",2380,DW12 Era 2012-2017,0,Running,0,26,,,,,,,,,,,,,,,,18,0.68
Helio Castroneves,3622,0,,,,,,1500,1500,1500,,,,,5,Team Penske,28,,,,1500,1500,,Chevrolet,0,1500,1500,1500,Honda Grand Prix Of St. Petersburg,Streets of St. Petersburg,21,Street,2,3/25/2012,"Sunday, March 25, 2012",2380,DW12 Era 2012-2017,0,Running,0,26,,,,,,,,,,,,,,,,1,0
Mike Conway,3625,0,,,,,,1500,1500,1500,,,,,11,A.J. Foyt Enterprises,1,,,,1500,1500,,Honda,1,1500,1500,1500,Honda Grand Prix Of St. Petersburg,Streets of St. Petersburg,21,Street,2,3/25/2012,"Sunday, March 25, 2012",2380,DW12 Era 2012-2017,0,DNF,1,26,,,,,,,,,,,,,,,,20,0.76
Scott Dixon,3628,0,,,,,,1500,1500,1500,,,,,6,Chip Ganassi Racing,9,,,,1500,1500,,Honda,1,1500,1500,1500,Honda Grand Prix Of St. Petersburg,Streets of St. Petersburg,21,Street,2,3/25/2012,"Sunday, March 25, 2012",2380,DW12 Era 2012-2017,0,Running,0,26,,,,,,,,,,,,,,,,2,0.04
Dario Franchitti,3636,0,,,,,,1500,1500,1500,,,,,9,Chip Ganassi Racing,9,,,,1500,1500,,Honda,1,1500,1500,1500,Honda Grand Prix Of St. Petersburg,Streets of St. Petersburg,21,Street,2,3/25/2012,"Sunday, March 25, 2012",2380,DW12 Era 2012-2017,0,Running,0,26,,,,,,,,,,,,,,,,13,0.48
Ryan Hunter-Reay,3645,0,,,,,,1500,1500,1500,,,,,3,Andretti Global,3,,,,1500,1500,,Chevrolet,0,1500,1500,1500,Honda Grand Prix Of St. Petersburg,Streets of St. Petersburg,21,Street,2,3/25/2012,"Sunday, March 25, 2012",2380,DW12 Era 2012-2017,0,Running,0,26,,,,,,,,,,,,,,,,3,0.08
Tony Kanaan,3648,0,,,,,,1500,1500,1500,,,,,8,KVSH Racing,17,,,,1500,1500,,Chevrolet,0,1500,1500,1500,Honda Grand Prix Of St. Petersburg,Streets of St. Petersburg,21,Street,2,3/25/2012,"Sunday, March 25, 2012",2380,DW12 Era 2012-2017,0,DNF,1,26,,,,,,,,,,,,,,,,25,0.96
Will Power,3667,0,,,,,,1500,1500,1500,,,,,1,Team Penske,28,,,,1500,1500,,Chevrolet,0,1500,1500,1500,Honda Grand Prix Of St. Petersburg,Streets of St. Petersburg,21,Street,2,3/25/2012,"Sunday, March 25, 2012",2380,DW12 Era 2012-2017,0,Running,0,26,,,,,,,,,,,,,,,,7,0.24
